,id,text,sentiment_text
0,96030110387,my riding time has been dismal too during these rainy weeks.  have not been able to make myself to go to the gym instead.,my riding time has been dismal too during these rainy weeks. have not been able to make myself to go the gym instead.
1,96027110384,no idea where tht is  I fancy him! Loool I have seen him b4 so its no biggie....;) have fuuuuun xoxo,no idea where tht is I fancy him Lool I have seen him b4 so its no biggie. have fuun xo
2,96032110389, thanks so much! Might not make it to to downtown pm tomorrow, thanks so much Might not make it to downtown pm tomorrow
3,96025110382,"he likes mcfly! waaaay kerry wants me to go meet him next monday, i would be too scared to say anything  lmao",he likes mcfly waay kerry wants me to go meet him next monday i would be too scared to say anything lmao
4,96029110386,yesss  stupid exams! thank god they will be over on tuesday afternoooon ;D,yess stupid exams thank god they will be over on tuesday afternoon D
5,96033110390,yay !!  have you told him now?,yay have you told him now
6,96031110388,I have enough books for now,I have enough books for now
7,96024110381,"aww. i never tan, its poo",aww. i never tan its poo
8,96026110383,LMAO i want him to reply  booooo you REPLY TO ONE OF US lmfaoooo,LMAO i want him to reply boo you REPLY TO ONE OF US lmfaoo
9,96028110385,yeah we realllly do! :') we will discuss on thursday for deffo!,yeah we really do we will discuss on thursday for deffo
