,id,text,sentiment_text
0,3196346320,let me know how it went  i wanted to come but i just got home,let me know how it went i wanted to come but i just got home
1,3195846315,Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip,Get followers a day using ww.tweeteradder.com Once you add everyone you are on the train or pay vip
2,3195646313,"yeah, looks like it is re-launched. Actually appears to work now",yeah looks like it is relaunched. Actually appears to work now
3,3196146318,hahaha i was going to pick the 2 or under but i picked cubs...,ha i was going to pick the or under but i picked cubs.
4,3196246319,that sounds like a plan but mummy will not let me take another day off,that sounds like a plan but mummy will not let me take another day off
5,3195446311,Yea there is but i thought we were all too old to play it  Brings back some childhood memories thinking about it though lol,Yea there is but i thought were all too old to play it Brings back some childhood memories thinking about it though lol
6,3195546312,"Yeah, it is only part of it. I did not have the skill to point that out and fit it in my last tweet though",Yeah it is only part of it. I did not have the skill to point that out and fit in my last tweet though
7,3195946316,hi - who is there,hi who is there
8,3195746314,& Nottingham on Monday. 6am start, Nottingham on Monday. 6am start
9,3196046317,let us get a big band together and make real musiq!!!  hope ur doing great love ya!,let us get a big band together and make real musiq hope ur doing great love ya
