,id,text,sentiment_text
0,280784295141,I have to go in the town today. Would you like to come? Only for eating ice-cream?,I have to go in the town today. Would you like to come Only for eating icecream
1,280792295149,Love sending postcards!? Send some of my crazy postcards to your postcrossing friends!  http://is.gd/ugVc,Love sending postcards Send some of my crazy postcards to your postcrossing friends 
2,280786295143,yes! I always have to say news that touch me!,yes I always have to say news that touch me
3,280791295148, lool   i have only one mother from where intay come ?, lool i have only one mother from where intay come 
4,280790295147,Fine i will shut up,Fine i will shut up
5,280788295145,what is up?,what is up
6,280787295144,see hard  good luck with yours,see hard good luck with yours
7,280793295150,are you serious biff ?,are you serious biff 
8,280789295146,absolutely. i'm going now .   xx,absolutely. im going now . xx
9,280785295142,it was my fault and I know I am an idiot!,it was my fault and I know I am an idiot
