,id,text,sentiment_text
0,136787151144, So sad the Daniel Craig popsicle will not be out here in the States., So sad the Daniel Craig popsicle will not be out here in the States.
1,136789151146,and unfortunately you will not be able to do the upgrade from the train,and unfortunately you will not be able to do the upgrade from the train
2,136784151141,"awww..... so what, huh?!?! he will when he is ready...  he will have fun playing with you!",aww. so what huh he will when he is ready. he will have fun playing with you
3,136790151147,"I will, from now on. Exterior drive. As soon as I can afford it.",I will from now on. Exterior drive. As soon as I can afford it.
4,136786151143,animals are better than most people - ur in good company,animals are better than most people ur in good company
5,136785151142,"do not force it  he will figure it out... swimming is easy to pick up, even if it is later. i think the force will scare him more.",do not force it he will figure it out. swimming is easy to pick up even if it is later. i think the force will scare him more.
6,136792151149,I just posted. Dammit.,I just posted. Dammit.
7,136793151150,"Geez, sorry! I have not read any of my feeds yet! Hand going 2 forehead with fingers in ""L"" formation...",Geez sorry I have not read any of my feeds yet Hand going forehead with fingers in L formation.
8,136788151145,"#sqr Very, very cool. Does she lose her fortune on the turn of a card? Is she like the Duchess of Devonshire, a gambler?",Very very cool. Does she lose her fortune on the turn of a card Is she like the Duchess of Devonshire a gambler
9,136791151148, lol  not funny, lol not funny
