,id,text,sentiment_text
0,136009150366,I will be following your progress.  It will be interesting to see which way it does go. You never know! Exciting times.,I will be following your progress. It will be interesting to see which way it does go. You never know Exciting times.
1,136013150370,tweet tweet to you!,tweet to you
2,136004150361,why not?,why not
3,136012150369,"*I get up* *rub my head* * see you* Am I in florida, or is this heaven?",I get up rub my head see you Am I in florida or is this heaven
4,136011150368,Me and my sis got pics with her.,Me and my sis got pics with her.
5,136006150363,how is life in Spain?  Am in UK in rain,how is life in Spain Am in UK in rain
6,136005150362," Oh, so that is where the Sun's been.", Oh so that is where the Sun been.
7,136008150365,You know where I am if you need to share,You know where I am if you need to share
8,136010150367,that is a long time to be happy,that is a long time to be happy
9,136007150364,Or alternatively you could put in some openable windows,Or alternatively you could put in some openable windows
