,id,text,sentiment_text
0,118097132454,i wish we had them here in jersey but we do not,i wish we had them here in jersey but we do not
1,118098132455,it was great meeting you last week at the Media Mesh unveiling! as a memory refresher i'm @ jorgefelix's sis.,it was great meeting you last week at the Media Mesh unveiling as a memory refresher im jorgefelix sis.
2,118102132459,I cannot whistle,I cannot whistle
3,118099132456,Lol.. I got some chicks in Orlando.. but none in Myers   wish i could help,Lol. I got some chicks in Orlando. but none in Myers wish i could help
4,118096132453,No buffet this time around but I think we are having dinner @ a steak house. Yummy!,No buffet this time around but I think we are having dinner a steak house. Yummy
5,118095132452,"Aww... I feel the same, thanks Linda.",Aww. I feel the same thanks Linda.
6,118094132451,That was Turkish mate,That was Turkish mate
7,118100132457,Pic for me did not work.,Pic for me did not work.
8,118101132458,yea well I do not feel the love,yea well I do not feel the love
9,118103132460,"while Galileo's a mere 'father of science', but he is still great. Anyway for me, DaVinci rule. cannot imagine e world widout him!",while Galileo a mere father of science but he is still great. Anyway for me DaVinci rule. cannot imagine world widout him
