,id,text,sentiment_text
0,298663313020,But I do not got a pussy.  lol,But I do not got a pussy. lol
1,298659313016,I miss it.,I miss it.
2,298654313011,i agree! s new album is great,i agree s new album is great
3,298661313018,"Ohhh Demis, little top up? Ha ha",Ohh Demis little top up Ha ha
4,298660313017,"Oh no babe, I am so sorry xxxx",Oh no babe I am sorry xx
5,298658313015,Of course you do!  Dolly is awesome.  And that is one of my favorite movies!,Of course you do Dolly is awesome. And that is one of my favorite movies
6,298662313019,I wish we could! Chris cannot take off work because of Disney soon!  unless you have a Sunday night show!,I wish we could Chris cannot take off work because of Disney soon unless you have a Sunday night show
7,298656313013,i bought my tickets about an hour ago  sooo excited.,i bought my tickets about an hour ago soo excited.
8,298657313014,"I needed some Vanilla, right on!  loves it xx",I need some Vanilla right on loves it xx
9,298655313012,"I am happy when you talk of Brazil, although the Portuguese is not so good  haha",I am happy when you talk of Brazil although the Portuguese is not so good ha
