,id,text,sentiment_text
0,219376233733,i cannot or i would,i cannot or i would
1,219377233734,"Have a great Birthday, you the birthday girl.",Have a great Birthday you the birthday girl.
2,219382233739,ahhah i know!!!! i want her to follow me toooo,ahhah i know i want her to follow me too
3,219379233736,LOL nope not yet.. still sitting here working,LOL nope not yet. still sitting here working
4,219374233731,I think there would be a whole group of us who were delirious the entire time ... would be awesome.,I think there would be a whole group of us who were delirious the entire time . would be awesome.
5,219381233738,"cept that sat I have to be back by 7 to pick up ryanne, so i will be on the road during the game  at least it will entertain me",cept that sat I have to be back by to pick up ryanne so i will be on the road during the game at least it will entertain me
6,219383233740,"hang in there. just build a fortress out of books, boxes & poster tubes until Denver.",hang in there. just build a fortress out of books boxes poster tubes until Denver.
7,219380233737,yea that is tough     hope she gets it all worked out,yea that is tough hope she gets it all worked out
8,219375233732,I think we will most definitely need to go out for drinks.,I think we will most definitely need to go out for drinks.
9,219378233735,haha no prob with others celebrating the win if their team beats ours.. friendships/aquaintences should run deeper than that,ha no prob with others celebrating the win if their team beats ours. friendshipsaquaintences should run deeper than that
