,id,text,sentiment_text
0,97097111454,"Thanks, tomorrow should start the craziness of it all",Thanks tomorrow should start the craziness of it all
1,97094111451,"i bet you get a lottt of ""fierce"" replies everyday. lol.",i bet you get a lott of fierce replies everyday. lol.
2,97099111456,Otep is the awesome; cannot wait too,Otep is the awesome cannot wait too
3,97102111459,"Tell me about it, just installing XP SP3 which of course takes 50 years to install",Tell me about it just installing XP SP3 which of course takes years to install
4,97095111452,need pics christian..love to see that dress,need pics christian.love to see that dress
5,97103111460,"Chris, you are so poetic in an almost, but a not quite, cheesy way that is simply wonderful",Chris you are so poetic in almost but a not quite cheesy way that is simply wonderful
6,97098111455,thanks!,thanks
7,97101111458,YAY! is defeating Demi Lovato! im voting like every 20 minutes!  thanks for the hint!,YAY is defeating Demi Lovato im voting like every minutes thanks for the hint
8,97100111457," omg, you have 1566 pictures of yourself on fb.  haha!  woah... head rush.  luv you, my dear!  even after 15 years.", omg you have pictures of yourself on fb. ha woah. head rush. luv you my dear even after years.
9,97096111453,ur in LA?! Come to my cancer benefit Monday June 1st @ Cinespace! Let me know. Awesome event! Lots of press. www.art4lifeca.com,ur in LA Come to my cancer benefit Monday June 1st Cinespace Let me know. Awesome event Lots of press. ww.art4lifeca.com
