,id,text,sentiment_text
0,43454842,Watching the #GOPDebate. Ben Carson and Trump even more insubstantial than I thought. Kasich impressive https://t.co/DlMwQuAZby,Watching the Ben Carson and Trump even more insubstantial than I thought. Kasich impressive 
1,43514848,"HilltopTXlege:   walterolson: My reaction, and that of CatoInstitute colleagues, to last night's #GOPDebate ... http://t.co/AuhlNZa3Ww",HilltopTXlege walterolson My reaction and that of CatoInstitute colleagues to last night . 
2,43524849, The and are getting exactly what they deserve! #morningjoe #GOPDebate, The and are getting exactly what they deserve 
3,43474844,.HRC Became 11th #GOPDebate Candidate Last Night & Topped Field! https://t.co/gOl1jgQp7j,.HRC Became th Candidate Last Night Topped Field 
4,43494846, More great coverage http://t.co/BryjH5EPif #GOPDebate #TrumpEffect #ImPower, More great coverage 
5,43504847,lungtawellness: KatyTurNBC biggest loser in last night's #GOPDebate - the environment. Meanwhile in Canada's leade... http://t.co/AuhlNZa3Ww,lungtawellness KatyTurNBC biggest loser in last night the environment. Meanwhile in Canada leade. 
6,43534850,"RichieRichBor:   DiabetesHeroes: The #GOPdebate was like a Disney movie. They all looked FROZEN, Megyn Kelly & Tr... http://t.co/AuhlNZa3Ww",RichieRichBor DiabetesHeroes The was like a Disney movie. They all looked FROZEN Megyn Kelly Tr. 
7,43464843,"Oh boy, time to see what thinks! #GOPDebate",Oh boy time to see what thinks 
8,43484845,EiseOnThePrize:   sobertacious: DEFUNDING PLANNED PARENTHOOD IS NOT SOMETHING TO BE PROUD OF #GOPDebate http://t.co/AuhlNZa3Ww,EiseOnThePrize sobertacious DEFUNDING PLANNED PARENTHOOD IS NOT SOMETHING TO BE PROUD OF 
9,43444841, You take off the stage and last night's #GOPDebate is watched by next to no one., You take off the stage and last night is watched by next to no one.
