,id,text,sentiment_text
0,268977283334,"awesome...I am going to see UP tonight....hahah Jen, I first read VAG when i saw your tweet",awesome.I am going to see UP tonight.hah Jen I first read VAG when i saw your tweet
1,268976283333,"aww really?  sorry to hear that. i'm still debating about my color, that is why i was anxious to see yours! lol",aww really sorry to hear that. im still debating about my color that is why i was anxious to see yours lol
2,268981283338,"And then code it. I have looked at many tutorials in the web, but so far have not found a good one.",And then code it. I have looked at many tutorials in the web but so far have not found a good one.
3,268979283336,Cool! Rootbeer floats are the only way I will have any rootbeer,Cool Rootbeer floats are the only way I will have any rootbeer
4,268978283335,that is an interesting blog about follow fail i enjoyed it thx for the share,that is an interesting blog about follow fail i enjoyed it thx for the share
5,268974283331,we know our peeps! Can take the girl out of the south but not the south out of the girl!,we know our peeps Can take the girl out of the south but not the south out of the girl
6,268980283337,:O What happened? do not cry! We are all here for you,O What happened do not cry We are all here for you
7,268982283339,I know  I am almost finished!,I know I am almost finished
8,268983283340,I think it is possible. WP allows conversion from certain blogging systems.,I think it is possible. WP allows conversion from certain blogging systems.
9,268975283332,"Well, I am glad you are joining me!!  #tfc",Well I am glad you are joing me 
