,id,text,sentiment_text
0,116595130952,you are about 20 minutes too late on that one,you are about minutes too late on that one
1,116596130953,Great thanks!! 5 more days!! I may throw up,Great thanks more days I may throw up
2,116600130957,was there any useful/informative comments in the #cebit stream [apart from mine of course  ],was there any usefulinformative comments in the stream apart from mine of course 
3,116602130959,Maybe if you put the black brim below piggy and make him the hat. Perfect for swine flu season. All the cool kids wearing them,Maybe if you put the black brim below piggy and make him the hat. Perfect for swine flu season. All the cool kids wearing them
4,116599130956,"on the internet, and everyone will think it is fake",on the internet and everyone will think it is fake
5,116597130954, Well yeah. You never know what is going to happen and suddenly your out having lunch with people. has not happen yet, Well yeah. You never know what is going to happen and suddenly your out having lunch with people. has not happen yet
6,116594130951,LOL The best part is Warren has this evil grin on his face like they got one over big time on uncle Anthony,LOL The best part is Warren has this evil grin on his face like they got one over big time on uncle Anthony
7,116603130960,"oooh - ceroc is fun! might catch you out there one day  you will not feel too tired afterwards, but you will get sweaty on the night.",ooh ceroc is fun might catch you out there one day you will not feel too tired afterwards but you will get sweaty on the night.
8,116601130958,"LOL! I am not a mobile phone brand groupie/fanboi.   FWIW, I will not even be able to attend the demo night",LOL I am not a mobile phone brand groupiefanboi. FWIW I will not even be able to attend the demo night
9,116598130955,I am jealous. I want to see but no one will take me.,I am jealous. I want to see but no one will take me.
