,id,text,sentiment_text
0,123712138069,hmmm okay. Idk.. I would be happy just to come home to you,hmm okay. Idk. I would be happy just to come home to you
1,123704138061,Stunny carb-cradle achievement. but also radical prolife antigay pasta fundraiser.,Stunny carbcradle achievement. but also radical prolife antigay pasta fundraiser.
2,123710138067,do not you just love this hot weather,do not you just love this hot weather
3,123713138070, haha LOVE YOU SWINE !!  did you like that? <3, ha LOVE YOU SWINE did you like that 3
4,123705138062,"well i agree with the article..you are funny as hell AND i love the short do... hey, gays know hotness when we see it, ok?",well i agree with the article.you are funny as hell AND i love the short do. hey gays know hotness when we see it ok
5,123709138066,has earned a #TweetGrade of F. http://tweetgrade.com/diagas,has earned a of F. 
6,123711138068,"Will start on season one & see how I like it, mind you there is not enough hours in the day to see all I want to see",Will start on season one see how I like it mind you there is not enough hours in the day to see all I want to see
7,123708138065,I do not matter  after all that stalking,I do not matter after all that stalking
8,123706138063,"that is ok, I was not expecting you too. Good.  And you? Did you see ""Harper's Island"" lastnight?",that is ok I was not expecting you too. Good. And you Did you see Harper Island lastnight
9,123707138064,boric acid did not work for me  I have heard it is better for roaches,boric acid did not work for me I have heard it is better for roaches
