,id,text,sentiment_text
0,91037105394,Maybe she will go through it all for you sure  Or maybe not :L,Maybe she will go through it all for you sure Or maybe not L
1,91043105400,sigh...I opened mine already,sigh.I opened mine already
2,91039105396,David and I are coming to CHICAGO!!!  You better be around July 10 - 13.,David and I are coming to CHICAGO You better be around July 
3,91036105393,Same to you Chloe,Same to you Chloe
4,91042105399,"haha yes! the thing is though, i did not know whether to post it on facebook or twitter! so many choices",ha yes the thing is though i did not know whether to post it on facebook or twitter so many choices
5,91035105392,"it is not sexist, I would be just as disappointed being out hardcored by a guy, even though I am a softy and listen to indie",it is not sexist I would be just as disappointed being out hardcored by a guy even though I am a softy and listen to indie
6,91041105398,I need some of that feeling today x] send it over please?,I need some of that feeling today x send it over please
7,91040105397,i love you too  i called a big fat juggernaut and he still did not reply.,i love you too i called a big fat juggernaut and he still did not reply.
8,91034105391,good luck with that,good luck with that
9,91038105395,I just saw that ad when I read your tweet.  Coincidence much? I like teh league of its own ad.,I just saw that ad when I read your tweet. Coincidence much I like teh league of its own ad.
