,id,text,sentiment_text
0,191803206160, we were playing 'bullshit' at work on friday and it made me thing of the movie How to Lose a Guy in 10 Days., were playing bullshit at work on friday and it made me thing of the movie How to Lose a Guy in Days.
1,191795206152,I wish I could bring it back. it is FIRE!!!,I wish I could bring it back. it is FIRE
2,191798206155,*waves* bye bye..,waves bye.
3,191794206151,"I was locked out of Twitter... they put me on Time Out, I was checking!",I was locked out of Twitter. they put me on Time Out I was checking
4,191797206154,whaaaaa? you are alive?  me and erica think you have forgotten us,whaa you are alive me and erica think you have forgotten us
5,191802206159,at least you have reception to use your mobile as a modem. No fair!  :-P,at least you have reception to use your mobile as a modem. No fair P
6,191800206157,good morning!!!,good morning
7,191801206158,"i swear it took me 2 hours to get from bel air to alabang.  but yes, i LOVED reminiscing about our HK trip with you & ",i swear it took me hours to get from bel air to alabang. but yes i LOVED reminiscing about our HK trip with you 
8,191796206153, yeah the salon drama is exhausting.  But sooooo entertaining.    I am contemplating another walk-in visit this week., yeah the salon drama is exhausting. But soo entertaing. I am contemplating another walkin visit this week.
9,191799206156,a 59?!?! wow! what was your worst grade this whole school year? math- 27 ( no clue HOW i did that... ) in science - 45,a wow what was your worst grade this whole school year math no clue HOW i did that. in science 
