,id,text,sentiment_text
0,6328677643,"i agree, we have notoriously been a bad finishing team, ie we slack near the end of all games, but we can overcome that",i agree we have notoriously been a bad finishing team ie we slack near the end of all games but we can overcome that
1,6328977646,Brilliant -I wish I would watched Dr Who more consistently over the years. Music used to scare me as a kid,Brilliant I wish I would watched Dr Who more consistently over the years. Music used to scare me as a kid
2,6328577642,t-shirt is nice but I NEED more cowbell!  You know what I am talking about,tshirt is nice but I NEED more cowbell You know what I am talking about
3,6329277649,I think the grey has had it is turn and it is now time for the blue!,I think the grey has had it is turn and it is now time for the blue
4,6329077647,do not be to tired for Friday - definitely a follow Friday this week,do not be to tired for Friday definitely a follow Friday this week
5,6328477641,You are being spammed thanks to ,You are being spammed thanks to 
6,6328877645," it did not die-it just runs under other names now. we are a tribe, right here.", it did not dieit just runs under other names now. we are a tribe right here.
7,6329377650,"that is a very good question - do not know how I did it  - I could make a few guesses, let us chat at Exeter on 7th!",that is a very good question do not know how I did it I could make a few guesses let us chat Exeter on 7th
8,6329177648,good luck today,good luck today
9,6328777644,My policy is to thank  them with @  IF they are real people with mostly non-commercial content otherwise no. Your mileage may vary,My policy is to thank them with IF they are real people with mostly noncommercial content otherwise no. Your mileage may vary
