,id,text,sentiment_text
0,229683244040,Joe I love 5 brothers and a million sisters. I cannot stop listening to it...Good job,Joe I love brothers and a million sisters. I cannot stop listening to it.Good job
1,229680244037,I have been tweeting you since you joined and found out today that you had not received any cos my account protected!,I have been tweeting you since you joined and found out today that you had not received any cos my account protected
2,229679244036,it is link-tastic Joe... good job,it is linktastic Joe. good job
3,229677244034,is what I am reading correct?? NKOTB have cancelled to OZ tour?? please tell me it is not true,is what I am reading correct NKOTB have cancelled to OZ tour please tell me it is not true
4,229681244038,"JM sory i missed you last nite   Have I told you lately that I love you?"" well i do love you JM!!  have a good day/night",JM sory i missed you last nite Have I told you lately that I love you well i do love you JM have a good daynight
5,229682244039,Joe 1 of UR book drive volunteers at Holmdel is going to be missing her 5* tomorrow because her mom is very ill,Joe of UR book drive volunteers at Holmdel is going to be missing her tomorrow because her mom is very ill
6,229674244031,i'm REALLY UPSET! Are you guys still coming at a later date or something? I was sooooo looking forward to you coming.,im REALLY UPSET Are you guys still coming at a later date or something I was soo looking forward to you coming.
7,229676244033,Is it true Sexify was cut from the show?,Is it true Sexify was cut from the show
8,229675244032,Is he eating a chicken nugget?? My son loves em too! SO Cute,Is he eating a chicken nugget My son loves em too SO Cute
9,229678244035,it is FREEZING over here in Ottawa...damn cold and damn windy. I want heat!,it is FREEZING over here in Ottawa.damn cold and damn windy. I want heat
