,id,text,sentiment_text
0,541219778,#followfriday ~ FOLLOW YOUR BLISS, FOLLOW YOUR BLISS
1,540519771,"#followfriday aw, are not you sweet! Follow this guy for extreme amusement",aw are not you sweet Follow this guy for extreme amusement
2,541019776,#followfriday  Sorry I missed you, Sorry I missed you
3,540619772,#followfriday (via  Thank you!!,via Thank you
4,541119777,"#FollowFriday ~ EVERYONE. I do not want to miss ANYONE...I a(tm)Y= you ALL!!! So, take THAT personally please!!!", EVERYONE. I do not want to miss ANYONE.I atmY you ALL So take THAT personally please
5,540819774,#followfriday  #interesting and/or #funny  - more later, andor more later
6,540919775,#followfriday It was quick. I am sorry!,It was quick. I am sorry
7,541319779,#followfriday again  enjoy!,again enjoy
8,540719773,#followfriday  Hot hot hot!  Great Tweeps!, Hot hot Great Tweeps
9,541419780,#followfriday and for the Brightonians... ,and for the Brightonians. 
