,id,text,sentiment_text
0,234777249134,"oh man, does that mean no josh at the party tonight.",oh man does that mean no josh at the party tonight.
1,234774249131,so i'm working an overnight right now and i'm watching Mama Mia...it made me think of you so i just wanted to say hi,so im working an overnight right now and im watching Mama Mia.it made me think of you so i just wanted to say hi
2,234779249136,you guys need to live stream something in honor of #theideacamp,you guys need to live stream something in honor of 
3,234776249133,:O you have Sims 3 .. I hate youuu  .. I am getting it for the long Summer ahead hahaa!,O you have Sims I hate youu . I am getting it for the long Summer ahead haa
4,234778249135,charlotte insists we stay near burbank for 1 night to connect again. she really wants to check out encounter assembly!,charlotte insists we stay near burbank for night to connect again. she really wants to check out encounter assembly
5,234775249132,"You know, I was not being serious or anything, but yay!",You know I was not being serious or anything but yay
6,234783249140,they let you do a legit free 14 day trial with no commitments at all (they do not ask 4 any crd card details) should have a play,they let you do a legit free day trial with no commitments at all they do not ask any crd card details should have a play
7,234782249139,"Cheers man, yeah squarespace. its very early stages at the moment & there is alot more 2 do. But very easy and powerful to use",Cheers man yeah squarespace. its very early stages at the moment there is alot more do. But very easy and powerful to use
8,234781249138,  i'm aiming for n2, im aiming for n2
9,234780249137,"well at first i thought about it, now i know i will",well at first i thought about it now i know i will
