,id,text,sentiment_text
0,228401242758,you are OK.  it is 8:00 pm here.  You can stay up a while longer.,you are OK. it is pm here. You can stay up a while longer.
1,228402242759,you are welcome,you are welcome
2,228398242755,"Thanks for the #followfriday, sorry it is late not a lot of internet access on the island... plus I forgot my computer",Thanks for the sorry it is late not a lot of internet access on the island. plus I forgot my computer
3,228394242751,Internet radio does wonders.,Internet radio does wonders.
4,228397242754,i do not sleep too much in the summer. its too hot,i do not sleep too much in the summer. its too hot
5,228400242757,"lolz hi there!  your top favorites will be great haha. Creative and Fun , thanks!",lolz hi there your top favorites will be great ha. Creative and Fun thanks
6,228396242753,"it is a great website, keep up the good work! look forward to reading it once i get my Japanese working  have a good day!",it is a great website keep up the good work look forward to reading it once i get my Japanese working have a good day
7,228403242760,Oww  I would love to meet you.. So sorry :'/,Oww I would love to meet you. So sorry 
8,228395242752,I am also sooooooo wishing  Long distance sucks!,I am also soo wishing Long distance sucks
9,228399242756,jodene you are up late get rest - Let Got sort it Out  QC Happy Dad's Day,jodene you are up late get rest Let Got sort it Out QC Happy Dad Day
