,id,text,sentiment_text
0,166323180680,mmmmm msg,mm msg
1,166315180672, I recently did a Matrix Trilogy sitting..that was tiring but awesome (Matrix Trilogy is my favorite sci fi film story), I recently did a Matrix Trilogy sitting.that was tiring but awesome Matrix Trilogy is my favorite sci film story
2,166321180678,"re Hef: Ewwww. Nasty. No, I do not think that makes us prudes.",re Hef Eww. Nasty. No I do not think that makes us prudes.
3,166314180671,"you,O3U...US OSSU,,O3OSSO""you,  OOE you...OSS O-O+-O3OaU+US O""O3 UfOSSU+Oa OaO1O!O""you+US O'O(r)OuUSOaU++OSS UfO<<USO+- ! .. OSSU,,you,,US O""you,you^you,,you++ O""O3 .. O'UfO+-OSSU< O!O2USU,,OSSU<  ()",youO3U.US OSSUO3OSSOyou OOE you.OSS OO3OaUUS OO3 UfOSSUOa OaO1OOyouUS OOrOuUSOaUOSS UfOUSO . OSSUyouUS Oyou OO3 . OUfOOSSU OO2USUOSSU 
4,166317180674,"nah it was yesterday, but i was in a stained t-shirt",nah it was yesterday but i was in a stained tshirt
5,166319180676,"I got my ""no fur"" sticker on my bass guitar!",I got my no fur sticker on my bass guitar
6,166316180673, nope but I guess you could just follow me again? Alan, nope but I guess you could just follow me again Alan
7,166320180677,"ditto on the whole book bed cave thing. books are a personal fetish of mine, as well!",ditto on the whole book bed cave thing. books are a personal fetish of mine as well
8,166318180675,"Thanks.  Hey, at least there will be more food to go around. lol",Thanks. Hey at least there will be more food to go around. lol
9,166322180679,you do not have 2 tell me twice 2 put yo azz 2 work!!! ;-) when you ready,you do not have tell me twice put yo azz work when you ready
