,id,text,sentiment_text
0,206871221228,cannot' make any cards  I keep getting the Error Occurred Problem It comes as I go to the next page to do the verse,cannot make any cards I keep getting the Error Occurred Problem It comes as I go the next page to do the verse
1,206872221229,poo-shi is what you find in a diaper after feeding sushi to a baby,pooshi is what you find in a diaper after feeding sushi to a baby
2,206868221225,not much .....at my stupid grandmom's house in oxford,not much .at my stupid grandmom house in oxford
3,206867221224,one day i will have a NoPantsDance soundtrack then people will know what is playing in my head.,one day i will have a NoPantsDance soundtrack then people will know what is playing in my head.
4,206866221223,"looks fuckin awesome, clean and simple, although I would change the font to Century Gothic",looks fuckin awesome clean and simple although I would change the font to Century Gothic
5,206869221226,do not forget about hurting Sassy,do not forget about hurting Sassy
6,206870221227,"victoria's secret, m wouldear... victoria's secret.",victoria secret m wouldear. victoria secret.
7,206865221222,I am really digging what I am reading about it!  Making my account now!,I am really digging what I am reading about it Making my account now
8,206873221230,"I am not flying or driving , im just DYING cuz I am not seeing them",I am not flying or driving im just DYING cuz I am not seeing them
9,206864221221,oh sweet i do not have a car,oh sweet i do not have a car
