,id,text,sentiment_text
0,152390166747,at the same time ... deal,at the same time . deal
1,152388166745, thank you doll!, thank you doll
2,152393166750,Passed the satanic number of cult members now chick! Hope your day improves!,Passed the satanic number of cult members now chick Hope your day improves
3,152385166742,hell nah i are not been to a theatre worth it... that is why every time i go i see a double feature,hell nah i are not been to a theatre worth it. that is why every time i go i see a double feature
4,152389166746,"i know, me too.  i love <3",i know me too. i love 3
5,152392166749,more music I cannot listen to on my iPod,more music I cannot listen to on my iPod
6,152384166741,Thanks so much for the recommendations,Thanks so much for the recommendations
7,152391166748,"LOL, hello love. ta for the giggle, got pissed to the eyeballs last night and feeling like a wretched cow, but now on the mend",LOL hello love. ta for the giggle got pissed to the eyeballs last night and feeling like a wretched cow but now on the mend
8,152387166744,"Lots of things/everything  IME webpages and a project I am involved in. we are moving a ""information literacy"" site over to DW.",Lots of thingseverything IME webpages and a project I am involved in. we are moving a information literacy site over to DW.
9,152386166743,was that your bday ? and you did not tell me ??? tsssaEUR| happy birhtday,was that your bday and you did not tell me tssaEUR happy birhtday
