,id,text,sentiment_text
0,250941265298,hey hun we missed you!!!! glad to hear ur feeling better,hey hun we missed you glad to hear ur feeling better
1,250942265299,I do not understand why you cannot pull it up.,I do not understand why you cannot pull it up.
2,250939265296,Seriously going to bed now...met my limit tonight.  But everything was oh soooo good BBQ/dessert/drink.  cannot stop at one rib!,Seriously going to bed now.met my limit tonight. But everything was oh soo good BBQdessertdrink. cannot stop at one rib
3,250935265292,"LOL, no, small town and the ones I meet are too young, or keep going back to their exs *do not ask why, they are retarded I guess)",LOL no small town and the ones I meet are too young or keep going back to their exs do not ask why they are retarded I guess
4,250937265294,"thanks for the budget heads up, I will nurse my drink accordingly.",thanks for the budget heads up I will nurse my drink accordingly.
5,250940265297,"yeah definately, its a great feeling",yeah definately its a great feeling
6,250943265300,I sent it to you like three times already!  check the spam folder... maybe it is not letting it through...,I sent it to you like three times already check the spam folder. maybe it is not letting it through.
7,250934265291,lol  noooo way,lol noo way
8,250936265293,Noo...,Noo.
9,250938265295,LOL I like that one  Quarantine time!,LOL I like that one Quarantine time
