,id,text,sentiment_text
0,2979744154,- (sigh)  sorry.  i was just caught up in all of the #ip6 excitement.  i will be well behaved from here on out.  i promise., sigh sorry. i was just caught up in all of the excitement. i will be well behaved from here on out. i promise.
1,2979544152,it is hugely significant that Apple was the first company to bring Unix to the desktop with viable commercial app support.,it is hugely significant that Apple was the first company to bring Unix to the desktop with viable commercial app support.
2,2979644153,Oh yeah AC and JC coming live at ya IN THE MORNING!!!,Oh yeah AC and JC coming live at ya IN THE MORNING
3,2979944156,"lol, get to your bed",lol get to your bed
4,2979444151,is it possible to add another stream option that uses the regular 8080/80 port? I cannot stream noagenda because of fw/proxy,is it possible to add another stream option that uses the regular port I cannot stream noagenda because of fwproxy
5,2980144158,yay for new friends on twitter!,yay for new friends on twitter
6,2980044157,"oh nice, I am going to rock me just a basic stove thing we have. Cooks up my rice pudding and macaroni cheeses perfectly",oh nice I am going to rock me just a basic stove thing we have. Cooks up my rice pudding and macaroni chees perfectly
7,2980344160,I KNOW. it is so hard. Right now it is raining so I might stay in and paint...,I KNOW. it is so hard. Right now it is raing so I might stay in and paint.
8,2979844155,OMG! Congrats on finally opening ur website it looks so awesome!  what a great bday present for you LOL,OMG Congrats on finally opening ur website it looks so awesome what a great bday present for you LOL
9,2980244159,thanks man,thanks man
