,id,text,sentiment_text
0,260691275048,my iPod.... A pillow.... And a vivid imagination,my iPod. A pillow. And a vid imagination
1,260690275047,Hey!! Had a blast in the ATL!!! Hope you got home OK and are still on cloud 9 like me!!!,Hey Had a blast in the ATL Hope you got home OK and are still on cloud like me
2,260685275042,thanks  there is a men's version in June. it is very popular.,thanks there is a men version in June. it is very popular.
3,260684275041,Oh gawd...shoveling on a Sunday..i dunno!!! LOL Well i hope you get a chance to chill out later and enjoy the sun!,Oh gawd.shoveling on a Sunday.i dunno LOL Well i hope you get a chance to chill out later and enjoy the sun
4,260688275045,errr...by q'ble...I meant questionable. Not quotable. you are very quotable. Damned Twtr abbreviations.,err.by qble.I meant questionable. Not quotable. you are very quotable. Damned Twtr abbreviations.
5,260693275050,ive been having a really bad birthday so far.  i just turned 16..how was yours?,ive been having a really bad birthday so far. i just turned how was yours
6,260689275046,hope to see you @ the IN state fair in August!,hope to see you the IN state fair in August
7,260692275049,Yep - first 25 years in Adamstown Heights and Kotara South    Great place to grow up. Wish there were more jobs up there.,Yep first years in Adamstown Heights and Kotara South Great place to grow up. Wish there were more jobs up there.
8,260687275044,Yay!!! What is it? Something equally fun to squeeze i hope! How was the movie?,Yay What is it Something equally fun to squeeze i hope How was the movie
9,260686275043,"very good ta fella, you?  still on for Thursday?",very good ta fella you still on for Thursday
