,id,text,sentiment_text
0,6640180758,Send a report also.,Send a report also.
1,6639480751,"He he, so glad you could connect with (that girl is golden) Wish I could make the party, but still in Canada.",He he so glad you could connect with that girl is golden Wish I could make the party but still in Canada.
2,6640280759,they are like $50 on ebay.,they are like on ebay.
3,6639880755,Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip,Get followers a day using ww.tweeteradder.com Once you add everyone you are on the train or pay vip
4,6639680753,"*blushes* I am going good, you? I hurt my big toe last night though",blushes I am going good you I hurt my big toe last night though
5,6639780754,"britney...... Like as in spears?.. Lol, um, try doing someone with talent... Might be more fun",britney. Like as in spears. Lol um try doing someone with talent. Might be more fun
6,6640080757,I seem to have a Ivy League scholarship.,I seem to have a Ivy League scholarship.
7,6639980756,"I know  it really is! worst part, I thought I would found one of those rare guys, and then he ran off  OMG, I know, right? D:",I know it really is worst part I thought I would found one of those rare guys and then he ran off OMG I know right D
8,6639580752, good idea..   tons of weirdos out there.., good idea. tons of weirdos out there.
9,6640380760,twitter it trying to fuck with you,twitter it trying to fuck with you
