,id,text,sentiment_text
0,5063264989,"eames modular desk for our new ""office""! 6 weeks till we get it though",eames modular desk for our new office weeks till we get it though
1,5062664983,"Well, that depends on what you are looking for  You can email me or DM me if you would like. salescom",Well that depends on what you are looking for You can email me or DM me if you would like. salescom
2,5063064987,shout out please??  I freaking love lovestruck and you!!,shout please I freaking lovestruck and you
3,5063164988,i do not knooo  you any ideas??,i do not knoo you any ideas
4,5062464981,aww thts good did the water bottle work? yh i no im really pleased i got to see my mates as well  so wt you bin up2?,aww thts good did the water bottle work yh i no im really pleased i got to see my mates as well so wt you bin up2
5,5062964986,hey asher  i loved the love struck video!! it was very very nice!!! good luck with everything! hope to meet you one day luv you!,hey asher i loved the love struck video it was very nice good luck with everything hope to meet you one day luv you
6,5062864985,"a reply from you would mean the world. I have been trying to get a call back from you guys for almost 7 months now, no luck",a reply from you would mean the world. I have been trying to get a call back from you guys for almost months now no luck
7,5062564982,where are ya? We should roll together!,where are ya We should roll together
8,5062764984,Distinct lack of the sad onion,Distinct lack of the sad onion
9,5063364990,lol! no... But it was a weird night,lol no. But it was a weird night
