,id,text,sentiment_text
0,286684301041,for once.................. PLEASE TELL US WHY you were thinking of this person?!?,for once. PLEASE TELL US WHY you were thinking of this person
1,286687301044,good morning sexy! Loved you @ the M&G last night! I will b in DC 2nite 2 but not 5*  Come c me again 2 get some Good CARMA!,good morning sexy Loved you the MG last night I will b in DC 2nite but not Come c me again get some Good CARMA
2,286692301049,"happy belated birthday, dear!!!!!",happy belated birthday dear
3,286691301048,hahaha here we go again. bring it. but give us at least 4 clues to start.,ha here we go again. bring it. but give us at least clues to start.
4,286693301050,Happy Birthday Sweety!!! 39? Really...damn you look so hot!,Happy Birthday Sweety Really.damn you look so hot
5,286686301043,"Good morning my love. it is 10.30pm in Indonesia, I already feel sleepy",Good morning my love. it is pm in Indonesia I already feel sleepy
6,286688301045,Good Morning to you! Sounds like you need a massage,Good Morning to you Sounds like you need a massage
7,286690301047,HAHA there it is! too funny! I think we have been patient enough... come on already!!! SPILL IT! Please?,HA there it is too funny I think we have been patient enough. come on already SPILL IT Please
8,286685301042,Good knight hun! hope Jon gave you the blue m&m's  Love You,Good knight hun hope Jon gave you the blue mm Love You
9,286689301046,Ha!! Tell on him Jordan!! Probably hard to unwind after a show!,Ha Tell on him Jordan Probably hard to unwind after a show
