,id,text,sentiment_text
0,165539179896,i watched it yesterday. it is so good ae. the ending is unfair and sad though,i watched it yesterday. it is so good ae. the ending is unfair and sad though
1,165534179891,let us get some ice cream!,let us get some ice cream
2,165541179898,"do you know of a good cleanser? In fact I need a whole facial routine, my skin is so bad& nothings working",do you know of a good cleanser In fact I need a whole facial routine my skin is so bad nothings working
3,165536179893,"couch, floor, bed, the whole lot! The duvets, throws and sleeping bags are piled up",couch floor bed the whole lot The duvets throws and sleeping bags are piled up
4,165540179897, hope everything is ok!, hope everything is ok
5,165542179899,so jealous!  i'm dying to just get out of the office and go somewhere warm and fun!  i want to play outside,so jealous im dying to just get out of the office and go somewhere warm and fun i want to play outside
6,165538179895,I sooooo got it now,I soo got it now
7,165535179892,well I do love collard greens I just need to try mustard greens,well I do love collard greens I just need to try mustard greens
8,165543179900,laundry chardonay with a nice fruity aftertaste.,laundry chardonay with a nice fruity aftertaste.
9,165537179894,thank god for that haha,thank god for that ha
