,id,text,sentiment_text
0,250755265112,GOT YA MESSAGE... I ASKED YOU IF THAT WAS UR REAL SIS BECUZ you KEPT CALLING HER UR SISTER...,GOT YA MESSAGE. I ASKED YOU IF THAT WAS UR REAL SIS BECUZ you KEPT CALLING HER UR SISTER.
1,250762265119,"if you are doing it again today i can help, i was asleep when you sent that",if you are doing it again today i can help i was asleep when you sent that
2,250757265114,http://twitpic.com/7z1se - Yup.... I miss him  Boooooo me!!!!, Yup. I miss him Boo me
3,250756265113,has passed her limit of hourly twitting...Shelll be as soon as possible  BBB,has passed her limit of hourly twitting.Shell be as soon as possible BB
4,250763265120,"I would have said exciting/terrifying, but yes very",I would have said excitingterrifying but yes very
5,250759265116,LOL  I definitely understand...,LOL I definitely understand.
6,250761265118,I hear that taking a cab in Cairo is legalized semi-consensual mugging,I hear that taking a cab in Cairo is legalized semiconsensual mugging
7,250758265115,"lol, it was BEFORE I turned my phone off",lol it was BEFORE I turned my phone off
8,250754265111,"Trying to find NRKs warp coil, but I JUST cannot DO IT!",Trying to find NRKs warp coil but I JUST cannot DO IT
9,250760265117,LOL yeah I will 'evolve' with this website I guess like I did the board. Random people add me too and some be old ppl  LOL,LOL yeah I will evolve with this website I guess like I did the board. Random people add me too and some be old ppl LOL
