,id,text,sentiment_text
0,209440223797,fuck. i have to go to the desert for my bro's bday wed and thurs. i really hope we can make a date work out. . .!,fuck. i have to go the desert for my bro bday wed and thurs. i really hope we can make a date work out. .
1,209442223799,"btw, is going to do a profile image for you",btw is going to do a profile image for you
2,209443223800,Only GOD can judge you  RUN FASSSSST!!!,Only GOD can judge you RUN FASST
3,209441223798,WELCOME JAI!!!...LOOL.Finally!,WELCOME JAI.LOOL.Finally
4,209436223793,Happy birthday bud  Hope you have a lovely day! xo,Happy birthday bud Hope you have a lovely day xo
5,209437223794,i hope it went okay!,i hope it went okay
6,209434223791,"Feel better, baby doll   I love you!",Feel better baby doll I love you
7,209435223792,That is so sad  Poor kitty. I hate seeing animals suffering. Just thinking about it makes my eyes fill with tears.,That is so sad Poor kitty. I hate seeing animals suffering. Just thinking about it makes my eyes fill with tears.
8,209439223796,haha..you guys are stupid. I am going to miss you again,ha.you guys are stupid. I am going to miss you again
9,209438223795,sorry hun.. I have not talked to you in a while...   I do not know what is going on.. but you have my digits..,sorry hun. I have not talked to you in a while. I do not know what is going on. but you have my digits.
