,id,text,sentiment_text
0,1696031317,.....aaaaaand Brad Lidge blew the save,.aand Brad Lidge blew the save
1,1695431311,.......listening to on Channel 11 remind us of how HOT it is going 2 be today....ssshhheeeeessshhh!  Yuck!,.listening to on Channel remind us of how HOT it is going be today.sshheesshh Yuck
2,1695531312,.......to gig after about 14 years off - can i do it???!!!!! big thought for bedtime - night sweet twitterville!,.to gig after about years off can i do it big thought for bedtime night sweet twitterville
3,1696231319,.....i need a vaccination before i got to the philippines,.i need a vaccination before i got to the philippines
4,1696331320,.....I Still Love Him Though. it will Catch Up Eventually,.I Still Love Him Though. it will Catch Up Eventually
5,1695931316,"......up, up, up and going! let us conquer the world!",.up and going let us conquer the world
6,1695731314,......I MISS HIM MUCHO! ALL PRIDE ASIDE,.I MISS HIM MUCHO ALL PRIDE ASIDE
7,1696131318,.....damn you National Geographic! why do you traumatized me so! poor Mr fox,.damn you National Geographic why do you traumatized me so poor Mr fox
8,1695831315,......my phones is going to die,.my phones is going to die
9,1695631313,......i drank spoild lactaid milk........ ...........man that tastes GROSS!,.i drank spoild lactaid milk. .man that tastes GROSS
