,id,text,sentiment_text
0,110669125026,"Yup  But the update enables bluetooth and a lot of other features, so it is worth it imo.",Yup But the update enables bluetooth and a lot of other features so it is worth it imo.
1,110666125023,I am extremely organized - to a fault. Drives my DH nuts sometimes.  #MondayMadness,I am extremely organized to a fault. Drives my DH nuts sometimes. 
2,110671125028,Dude am I only one at Trigeia that does not have a G1?,Dude am I only one at Trigeia that does not have a G1
3,110668125025,thanks for the follow,thanks for the follow
4,110664125021,"even with full blown piglet flu i would hazard a guess that i've more colour than stuey right now  and trust me, that is saying so ...",even with full blown piglet flu i would hazard a guess that ive more colour than stuey right now and trust me that is saying so .
5,110672125029,http://twitpic.com/6qffi - This whole project is looking amazing. I cannot wait, This whole project is looking amazing. I cannot wait
6,110665125022,"Thank you!  I am quite excited - after the defense, my committee said I should turn it into a book so I am doing it",Thank you I am quite excited after the defense my committee said I should turn it into a book so I am doing it
7,110667125024,that is ALL it takes?  LOL..I am impressed.,that is ALL it takes LOL.I am impressed.
8,110670125027,"Hey, being the spam magnet is my job!  I think I have ""sucker"" written across my forehead",Hey being the spam magnet is my job I think I have sucker written across my forehead
9,110673125030,does not work for me across the board. Only I am certain apps. And not tweetdeck.,does not work for me across the board. Only I am certain apps. And not tweetdeck.
