,id,text,sentiment_text
0,1919933556,I am sure I could microwave it  Milk and two sugars please mas,I am sure I could microwave it Milk and two sugars please mas
1,1920133558,Get something from a friend! They take enough from you -.- But thanks for the drink,Get something from a friend They take enough from you . But thanks for the drink
2,1920333560," that is the spirit!haha,do not mind me,i think all this studying is making me go insane  enjoy ur studyless day  xoxo", that is the spirithado not mind mei think all this studying is making me go insane enjoy ur studyless day xo
3,1919733554,I started out with a bulbasaur. you are my favorate grass type Pokemon.,I started out with a bulbasaur. you are my favorate grass type Pokemon.
4,1919833555, I asked him about it hagahagdg, I asked him about it hagahagdg
5,1919633553,Tell me about it! I have got a tan-line where my sunglasses were,Tell me about it I have got a tanline where my sunglasses were
6,1919433551,"The ""everyone can become great"" one still is not working for me  rest work fine",The everyone can become great one still is not working for me rest work fine
7,1920033557,"the other two were go away, said to my cat as he tried to eat my toes",the other two were go away said to my cat as he tried to eat my toes
8,1919533552,Nice,Nice
9,1920233559,always welcome hun,always welcome hun
