,id,text,sentiment_text
0,52925789, Ben Carson is not for 'politically correct' war. AKA he will violate international law and think nothing of it. #GOPDebate, Ben Carson is not for politically correct war. AKA he will violate international law and think nothing of it. 
1,52855782, The real loser in the debate to me was Jeb. The establishment is begging for us to vote for him & he showed us why we sh..., The real loser in the debate to me was Jeb. The establishment is begging for us to vote for him he showed us why we sh.
2,52895786,"""Freedom is not free and we must fight for it every day.""  -Even if you do not vote for the guy, appreciate #truth #GOPDebate",Freedom is not free and we must fight for it every day. Even if you do not vote for the guy appreciate 
3,52865783,I am going to share MY post-debate analysis on (RobCarpenter2).  Join me.  #GOPDEBATE,I am going to share MY postdebate analysis on RobCarpenter2. Join me. 
4,52915788,Say what you want but if the gop ratings are through the roof you can single handedly thank for it #GOPDebate,Say what you want but if the gop ratings are through the roof you can single handedly thank for it 
5,52885785, Is going to be asked any questions soon? #GOPDebate, Is going to be asked any questions soon 
6,52845781,GOP Party's Hunger Games- Demagog Food-fighter GOPDebate #morningjoe http://t.co/ygMGbAvqut,GOP Party Hunger Games Demagog Foodfighter GOPDebate 
7,52905787,do not buy 's stale rhetoric. Successful #CVE looks at root causes of radicalism & adopts long-term solutions #GOPDebate,do not buy stale rhetoric. Successful looks at root causes of radicalism adopts longterm solutions 
8,52935790, #GOPDebate Recap http://t.co/TsUIKsJEeB, Recap 
9,52875784,#ProWrestling Can Teach You Everything You Need to Know About the #GOPDebate http://t.co/bRlwGxXKIs same target audience too,Can Teach You Everything You Need to Know About the same target audience too
