,id,text,sentiment_text
0,158215950,i hope i do not have any weird brain problem or disease  i think ill be fine though. the nurse does not sound too worried.,i hope i do not have any weird brain problem or disease i think ill be fine though. the nurse does not sound too worried.
1,158115949,i hope everyone has a great day!,i hope everyone has a great day
2,157915947,I have not been on Twitter all day thought I would make some late twitters.,I have not been on Twitter all day thought I would make some late twitters.
3,157515943,I have to go to work.,I have to go to work.
4,157715945,I have to wait till next Tuesday to see star trek because no one will go with me till then.  Friends suck.,I have to wait till next Tuesday to see star trek because no one will go with me till then. Friends suck.
5,157615944,i have to piss.,i have to piss.
6,157815946,"i have not actually seen my bestfriend in maybe a month... My fault, i been so busy... And i miss her!",i have not actually seen my bestfriend in maybe a month. My fault i been so busy. And i miss her
7,158015948,"i have not checked it for a while, but sushi's memorial site seems down, can anyone else see it? http://cli.gs/sushi",i have not checked it for a while but sushi memorial site seems down can anyone else see it 
8,157415942,"i have to go into school tomorrow to sing, and babysit before that. when will i find time for the sims 3?! i'm going to cry!",i have to go into school tomorrow to sing and babysit before that. when will i find time for the sims im going to cry
9,157315941,i have the cold,i have the cold
