,id,text,sentiment_text
0,183222197579,No manches!!!  :'(,No manches 
1,183214197571,aww bestie I am by myself,aww bestie I am by myself
2,183217197574,The mad marathon of Gears 2 sessions has done my Xbox in LOL! RROD last night,The mad marathon of Gears sessions has done my Xbox in LOL RROD last night
3,183221197578, I do not want it to go away, I do not want it to go away
4,183220197577,Apparently Disney fans  JERKS.,Apparently Disney fans JERKS.
5,183223197580,Neues Bild? Nice,Neues Bild Nice
6,183219197576,wars leider nicht,wars leider nicht
7,183216197573,"just seen the photos. do not go crazy, 4?!",just seen the photos. do not go crazy 4
8,183215197572,"It was an outrage  Of course, yes, because I voted for her like a hundred times!",It was an outrage Of course yes because I voted for her like a hundred times
9,183218197575,"NO, the dirty tile!!",NO the dirty tile
