,id,text,sentiment_text
0,267137281494,Thanks for the follow!,Thanks for the follow
1,267143281500,Hi Leayshia - hope you and your little soul man are doing great - morning to all - just checking in for a little bit,Hi Leayshia hope you and your little soul man are doing great morning to all just checking in for a little bit
2,267139281496,miss you muffin,miss you muffin
3,267141281498,"that sounds really yummy! I miss Jamba juice, Lincoln does not have one",that sounds really yummy I miss Jamba juice Lincoln does not have one
4,267136281493,get both!  yup. http://bit.ly/122vkF,get both yup. 
5,267140281497,"hey go to squarespace.com #squarespace , I want a 3gs just as much as you do",hey go to squarespace.com I want a 3gs just as much as you do
6,267138281495,"lots of drama & stress around here.  nothing worth sharing.  better to move along, nothing to see here   know what i mean?",lots of drama stress around here. nothing worth sharing. better to move along nothing to see here know what i mean
7,267135281492," ummmmm.. A heh, A heh-heh.. ummmm What I had *MEANT* to say was.... ummmm", umm. A hehheh. umm What I had MEANT to say was. umm
8,267142281499,Yeah so what was your dad up to in Phuket? I was there for the weekend,Yeah so what was your dad up to in Phuket I was there for the weekend
9,267134281491,lol I hereby release thee from all expectation & guilt. I (of all ppl) understand.  We had a great time. you will w/us soon too!,lol I hereby release thee from all expectation guilt. I of all ppl understand. We had a great time. you will wus soon too
