,id,text,sentiment_text
0,213474227831,im a goof!,im a goof
1,213479227836,"yeah, but you will not end up like dylan  and james will have a daddy",yeah but you will not end up like dylan and james will have a daddy
2,213475227832,It should be noted I was one small part of a much larger team... I did not make it myself,It should be noted I was one small part of a much larger team. I did not make it myself
3,213476227833,haha thank you!,ha thank you
4,213483227840,always a good idea doing a spur of the moment thing that lasts forever ) was there tequila involved?,always a good idea doing a spur of the moment thing that lasts forever was there tequila involved
5,213482227839,cannot... its a one way.  haha,cannot. its a one way. ha
6,213480227837,Thanks chica! Glad your day was better.,Thanks chica Glad your day was better.
7,213478227835,"I am not well either but im swending all my strenght to you sweetie... got to love twitter,,,instant support over the net",I am not well either but im swending all my strenght to you sweetie. got to love twitterinstant support over the net
8,213477227834,"thanks boo. i just know if i do not get it out, i will go like psycho. i know i'm so damn dramatic but it is just  like really?!",thanks boo. i just know if i do not get it out i will go like psycho. i know im so damn dramatic but is just like really
9,213481227838,you should not leave,you should not leave
