,id,text,sentiment_text
0,125423139780,"If some issue affects your friend, you stand up about it, whether it is an identified ""because"" or a vindictive neighbour.",If some issue affects your friend you stand up about it whether it is an identified because or a vindictive neighbour.
1,125418139775,I like the green flag Dave...they are very good in motor races!,I like the green flag Dave.they are very good in motor races
2,125421139778,I have got to ask - what sites did you use the add-on to block.,I have got to ask what sites did you use the addon to block.
3,125422139779,Hmm. Must be another one,Hmm. Must be another one
4,125415139772,Go Tiges  with glee!!!,Go Tiges with glee
5,125416139773,"Yeah, there will be - we have been real slack with actual sports posts lately, so expect those to start again",Yeah there will be we have been real slack with actual sports posts lately so expect those to start again
6,125417139774,yes well that is also awesome - we have had one round this year all ready - we had 1 week of being well in between,yes well that is also awesome we have had one round this year all ready we had week of being well in between
7,125420139777,I think the bike commuting is really helping rev my metabolism in the morning  Good luck!,I think the bike commuting is really helping rev my metabolism in the morning Good luck
8,125419139776,"Yes, illegally. BUT I do not get to watch it as it happens, and thus I cannot vote",Yes illegally. BUT I do not get to watch it as it happens and thus I cannot vote
9,125414139771,"thanks DEAR!  she won, sub 9hr, 8h 46min exactly!",thanks DEAR she won sub 9hr 8h min exactly
