,id,text,sentiment_text
0,178997193354,See you soon,See you soon
1,178994193351,You will not be at your best if you do not eat. You should not miss breakfast,You will not be at your best if you do not eat. You should not miss breakfast
2,178998193355, that is a difficult choice.  Hope someone will tweet from both.    Solves problems for us lurkers that cannot decide., that is a difficult choice. Hope someone will tweet from both. Solves problems for us lurkers that cannot decide.
3,179001193358,Good Morning TwiSis!  Have a blessed Day!  Will Tweet with you soon.  got to share that sermon you heard today,Good Morning TwiSis Have a blessed Day Will Tweet with you soon. got to share that sermon you heard today
4,179003193360,lmao ha windows in the back & the bitch dnt have steps,lmao ha windows in the back the bitch dnt have steps
5,178996193353, cannot wait till new tour  your awesomeee, cannot wait till new tour your awesomee
6,178995193352,"your on twitter, what'chu talking about? haha! What rehersal CD??  We love ya!!!!",your on twitter whatchu talking about ha What rehersal CD We love ya
7,179000193357,got to love ebay! I sell collectibles,got to love ebay I sell collectibles
8,179002193359,i got you a couple cups,i got you a couple cups
9,178999193356,more ideas: offer twitter as a way to send updates to custom ebay searches for cars(or anything else for that matter,more ideas offer twitter as a way to send updates to custom ebay searches for carsor anything else for that matter
