,id,text,sentiment_text
0,141485155842,Greek Picnic stepshow and then I have to work,Greek Picnic stepshow and then I have to work
1,141490155847,thanks dear!! And for the song as well..,thanks dear And for the song as well.
2,141492155849,well that is good,well that is good
3,141489155846,"Cool, followed Yuval and Dvir is my boy!",Cool followed Yuval and Dvir is my boy
4,141488155845,"Because If anyone knew how great I am, they would die... because I am soo good!!!",Because If anyone knew how great I am they would die. because I am soo good
5,141484155841,"All I see is the ""broken link"" symbol",All I see is the broken link symbol
6,141491155848,guess whoo,guess whoo
7,141493155850,I am getting mine!  So intrigued with this,I am getting mine So intrigued with this
8,141486155843,Oops! did not realize I sent that over to Twitter. it is just random lyrics.,Oops did not realize I sent that over to Twitter. it is just random lyrics.
9,141487155844,  After being in the loft all night - idk it is giving me a headache - it does not feel like home, After being in the loft all night idk it is giving me a headache it does not feel like home
