,id,text,sentiment_text
0,142404156761,your tweet was just included in The Longest Poem in the World www.longestpoemintheworld.com/tweet/16033/,your tweet was just included in The Longest Poem in the World ww.longestpoemintheworld.comtweet 
1,142410156767,Aw  *HUGS*,Aw HUGS
2,142409156766,oh yesss this time do not bail on us!,oh yess this time do not bail on us
3,142411156768,last I read your were going for a walk....maybe you exhausted yourself,last I read your were going for a walk.maybe you exhausted yourself
4,142407156764,Interesting to see how long it will take. The whole operation took about a month for me,Interesting to see how long it will take. The whole operation took about a month for me
5,142412156769,meditation helps. a lot.,meditation helps. a lot.
6,142405156762,I know  I personally do not want to but the boss says we have to  I am not a monster,I know I personally do not want to but the boss says we have to I am not a monster
7,142413156770,"Unfortunately, I did not get any email.",Unfortunately I did not get any email.
8,142408156765,"ha those guys were wasted, I went to bed right after I ate. It was yummy, brought some for lunch",ha those guys were wasted I went to bed right after I ate. It was yummy brought some for lunch
9,142406156763,- mixture of chronic insomnia and insufferable work-ethic., mixture of chronic insomnia and insufferable workethic.
