,id,text,sentiment_text
0,277371291728,that makes me sad.,that makes me sad.
1,277366291723,I am smelling conspiracy Amber!    Luckily - my hubby went out of town  - so I have the whole tv AND REMOTE to myself!,I am smelling conspiracy Amber Luckily my hubby went out of town so I have the whole tv AND REMOTE to myself
2,277364291721,Good night. I will be up late. Again.,Good night. I will be up late. Again.
3,277368291725,what is so funny!,what is so funny
4,277369291726,Go Team Bluhm!   Damn but MoCCA always sounds like such a blast. I got to hit it someday.,Go Team Bluhm Damn but MoCCA always sounds like such a blast. I got to hit someday.
5,277372291729,"Lol. Funny.  I guess they know ""you"" well.  Liked the other ones too...hahahaha.",Lol. Funny. I guess they know you well. Liked the other ones too.ha.
6,277373291730,i must guess... walk of life - dire straits?,i must guess. walk of life dire straits
7,277370291727,Very moving video Joey. Your parents are so proud of you!,Very moving video Joey. Your parents are so proud of you
8,277367291724,"Well, in that case...bottoms up!!!",Well in that case.bottoms up
9,277365291722,I know!!! Wish I would been the one to write it! At least it is on my blog!,I know Wish I would been the one to write it At least is on my blog
