,id,text,sentiment_text
0,293650308007,great,great
1,293648308005,ARE YOU SERIOUS?!,ARE YOU SERIOUS
2,293644308001,"haha, well thank you madam!",ha well thank you madam
3,293652308009,sorry just got back  my email is eklingenbergercom,sorry just got back my email is eklingenbergercom
4,293646308003,its changing on its own! lol & yeah im stil going even tho i do not want to go,its changing on its own lol yeah im stil going even tho i do not want to go
5,293645308002,oh cool missed t'ang quartet this time round. and yeah it was a really cool play,oh cool missed tang quartet this time round. and yeah it was a really cool play
6,293651308008,Yup yup  I am taking accounting in college.,Yup yup I am taking accounting in college.
7,293649308006,"tell you what, if you paint me something, i will cook you something",tell you what if you paint me something i will cook you something
8,293647308004,No doubt another beautiful boudoir shoot!!,No doubt another beautiful boudoir shoot
9,293653308010,Thanks so much!,Thanks so much
