,id,text,sentiment_text
0,271760286117,im sorry I forgot the @ in my reply. My phones trippin toKnight,im sorry I forgot the in my reply. My phones trippin toKnight
1,271755286112,"something, that I wrap up nice and pretty, and which gets unwrapped on the 23rd of may...its soooo exciting",something that I wrap up nice and pretty and which gets unwrapped on the rd of may.its soo exciting
2,271761286118,of course I would lose my TIVO then too   UGH!,of course I would lose my TIVO then too UGH
3,271763286120, i love the 90s, i love the s
4,271759286116,"Awww, yeah, I love that one.  I remember seeing him at Great America w/ Tassi.  Such a great memory",Aww yeah I love that one. I rember seeing him at Great America w Tassi. Such a great memory
5,271756286113,Ah I have to study hun and feel so bored to do so too meh,Ah I have to study hun and feel so bored to do so too meh
6,271757286114,"I DUNNO, SOMEONE did not REPLY TO MY 4 PAGE LONG TEXT YESTERDAY",I DUNNO SOMEONE did not REPLY TO MY PAGE LONG TEXT YESTERDAY
7,271762286119,I LOVE MY BOYFRIEND! MORE & MORE EVERYDAY!  FOREVER BAAAABY! HEHEHEH! <3,I LOVE MY BOYFRIEND MORE EVERYDAY FOREVER BAABY HEH 3
8,271754286111,"booooooo! it is a one time only thing, too, joe and eric (dan's brothers) live in montana, and they are going home on monday",boo it is a one time only thing too joe and eric dan brothers live in montana and they are going home on monday
9,271758286115,Yay! I cannot wait for your Rome blog!,Yay I cannot wait for your Rome blog
