,id,text,sentiment_text
0,1174226099,"* g * But, much as I love the Harry Potter movies, the books are better...", g But much as I love the Harry Potter movies the books are better.
1,1173626093,* * * this was almost perfect weekend with a perfect people  I love forests *, this was almost perfect weekend with a perfect people I love forests 
2,1173926096,* we vacated thank f**k!! Oh my gosh! Party back at mine now  come along bring the family we have singstar!, we vacated thank fk Oh my gosh Party back at mine now come along bring the family we have singstar
3,1174126098,* Feeliing really BAD!!  *, Feeliing really BAD 
4,1174326100,* I like Harry Potter.., I like Harry Potter.
5,1173826095,* :S not, S not
6,1173426091,*  no it does not, no it does not
7,1173726094,* * this only work for thinkgs like *dances*  *glares*  *sigh* and other things you cannot express properly unlike, this only work for thinkgs like dances glares sigh and other things you cannot express properly unlike
8,1173526092,* - FUCK !! not e practice soo Now What ??! bored . . here w/ goldie in the hallway or w.e .  this day is not running on my schedule ., FUCK not e practice soo Now What bored . here w goldie in the hallway or w.e . this day is not running on my schedule .
9,1174026097,* Beautiful... HAVE A BEAUTIFUL DAY.!  z., Beautiful. HAVE A BEAUTIFUL DAY. z.
