,id,text,sentiment_text
0,186310200667,ew what happened with Kristen SteWEED? I am sooooo sad I missed the show!  Wooo tivo!,ew what happened with Kristen SteWEED I am soo sad I missed the show Woo tivo
1,186305200662,"Hi Emily, I got your mail. Thank you  WIll reply in some time..",Hi Emily I got your mail. Thank you WIll reply in some time.
2,186304200661,i love you toooooo  your my best twiend,i love you too your my best twiend
3,186313200670,and I loved to know american teenagers of my age and you seem so cool  !!,and I loved to know american teenagers of my age and you seem so cool 
4,186307200664,dammit you are totally beating me by 6 subs,dammit you are totally beating me by subs
5,186306200663,yea it takes a while for pics to change,yea it takes a while for pics to change
6,186311200668, heyy emily!! what is up, heyy emily what is up
7,186308200665,Oh I have been lookin at all his pics!    And he is wayyyy cuter with a hat.  *grin*,Oh I have been lookin at all his pics And he is wayy cuter with a hat. grin
8,186309200666,"Oooh, Emily of Texas! One of my faves",Oooh Emily of Texas One of my faves
9,186312200669, your movie DADNAPPED will premiere here on DC Asia on June 21! cannot wait, your movie DADNAPPED will premiere here on DC Asia on June cannot wait
