,id,text,sentiment_text
0,6495879315,will do. thanks,will do. thanks
1,6496179318,call me,call me
2,6495679313,Raised just over 2.5k...so think that counts as lots!  x,Raised just over k.so think that counts as lots x
3,6495579312,nothing to special today  thinking about going shopping now thou lol,nothing to special today thinking about going shopping now thou lol
4,6496379320,"ugh.  im sorry.    im going for a swim later, after I nap.",ugh. im sorry. im going for a swim later after I nap.
5,6495979316,- It seems TV is coming to twitter though. Even is here now.  ? http://blip.fm/~4lblb, It seems TV is coming to twitter though. Even is here now. 4lb
6,6495779314,very sleepy  but busy at work.....thanks for asking thou. How are you today???,very sleepy but busy at work.thanks for asking thou. How are you today
7,6495479311,LOL I see you did not bother disagreeing ! I will up my use of grooming products,LOL I see you did not bother disagreeing I will up my use of grooming products
8,6496279319,me too,me too
9,6496079317,I know! I am so bummed!!!!!!!!,I know I am so bummed
