,id,text,sentiment_text
0,569978197284130817318973,Any idea why TSA Pre-Check is not showing for my next flight tomorrow? The number is in my profile...,Any idea why TSA PreCheck is not showing for my next flight tomorrow The number is in my profile.
1,569977129728749568318978,are 5 people there?,are people there
2,569977819389800448318976,still there? I was posted up in Downtown waiting for you all. On my way!,still there I was posted up in Downtown waiting for you all. On my way
3,569978748780421121318972,"What can we do to bring you back to Jackson, MS?! We miss you terribly around here. These other airlines are horrible!!",What can we do to bring you back to Jackson MS We miss you terribly around here. These other airlines are horrible
4,569977907222880256318974,3 hours and 80 degree difference. Yes please!!  MHT TO MCO http://t.co/MRAW3qDw4D,3 hours and degree difference. Yes please MHT TO MCO 
5,569977857755234304318975,"sent. looking for that functionality in your app, though. should be a one click action.",sent. looking for that functionality in your app though. should be a one click action.
6,569976246135697408318980,""" Congrats to these fans who are seeing #DestinationDragons in L.A.! SLC, you are next! http://t.co/YcCITaeP3S"" Thanks again SW", Congrats to these fans who are seeing in L.A. SLC you are next Thanks again SW
7,569976622054395904318979,looks like Bellagio to me! Good luck people! See you at the show at Vinyl,looks like Bellagio to me Good luck people See you at the show at Vinyl
8,569977223198822400318977,"like kelsey said, really bad spot for locals. Do you know how long it takes to find parking then walking over to the bellagio?",like kelsey said really bad spot for locals. Do you know how long it takes to find parking then walking over to the bellagio
9,569978876861902848318971,"ruined my Sunday. 3+ hours of delays out of DIA, now my bags are at the wrong airport. $35 to deliver them? Insult to injury.",ruined my Sunday hours of delays out of DIA now my bags are at the wrong airport to deliver them Insult to injury.
