,id,text,sentiment_text
0,569158030404800513324946,my friend has been on hold for 1.5 hours and still counting!,my friend has been on hold for hours and still counting
1,569163008309657600324941,your flight attendants are all jerks,your flight attendants are all jerks
2,569162211748245504324943,Was told it was a software bug. Told to call back this AM  Now your system is too busy to handle any calls this AM.  Clown shoes.,Was told it was a software bug. Told to call back this AM Now your system is too busy to handle any calls this AM. Clown shoes.
3,569159165626716160324945,now the 3rd issue with the plane is a fuel leak. They will let us know soon what they decide. #getmeoffthisplane #ineedabeer,now the 3rd issue with the plane is a fuel leak. They will let us know soon what they decide. 
4,569154174929244162324948,"flight 813 DCA to CLT stuck waiting on CLT ATC. Cmon #FAA Missing flt 826 CLT to MBJ, hope you can rebook me! 816?",flight DCA to CLT stuck waiting on CLT ATC. Cmon Missing flt CLT to MBJ hope you can rebook me 
5,569162593819955203324942,Easily the most ridiculous experience trying to spend money with your company.,Easily the most ridiculous experience trying to spend money with your company.
6,569161513056935936324944,- been on hold with reservations for over 30 min already! #worstairline, been on hold with reservations for over min already 
7,569153841083625473324949,"when trying to check-in online, it says to call...now I have been on hold for 2 hours...what to do?",when trying to checkin online it says to call.now I have been on hold for hours.what to do
8,569156425626329089324947,Does anyone know the hold times for USAirways reservations?,Does anyone know the hold times for USAirways reservations
9,569153207148150785324950,how long are you going make us sit in this plane while they repair it? Could I at least get a beer???,how long are you going make us sit in this plane while they repair it Could I at least get a beer
