,id,text,sentiment_text
0,14072493,Ask Programming: LaTeX or InDesign?: submitted by calcio1 [link] [1 comment] http://tinyurl.com/myfmf7,Ask Programming LaTeX or InDesign submitted by calcio1 link comment 
1,14074495,Ahhh... back in a *real* text editing environment. I <3 LaTeX.,Ahh. back in a real text editing environment. I LaTeX.
2,1498, How did everyone feel about the Climate Change question last night? Exactly. #GOPDebate, How did everyone feel about the Climate Change question last night Exactly. 
3,14071492,"After using LaTeX a lot, any other typeset mathematics just looks hideous.",After using LaTeX a lot any other typeset mathematics just looks hideous.
4,14075496,"Trouble in Iran, I see. Hmm. Iran. Iran so far away. #flockofseagullsweregeopoliticallycorrect",Trouble in Iran I see. Hmm. Iran so far away. 
5,14076497,Reading the tweets coming out of Iran... The whole thing is terrifying and incredibly sad...,Reading the tweets coming out of Iran. The whole thing is terrifying and incredibly sad.
6,3500, No mention of Tamir Rice and the #GOPDebate was held in Cleveland? Wow., No mention of Tamir Rice and the was held in Cleveland Wow.
7,2499, did not catch the full #GOPdebate last night. Here are some of Scott's best lines in 90 seconds. #Walker16 http://t.co/ZSfF..., did not catch the full last night. Here are some of Scott best lines in seconds. 
8,14073494,"On that note, I hate Word. I hate Pages. I hate LaTeX. There, I said it. I hate LaTeX. All you TEXN3RDS can come kill me now.",On that note I hate Word. I hate Pages. I hate LaTeX. There I said it. I hate LaTeX. All you TEXN3RDS can come kill me now.
9,14070491,using Linux and loving it - so much nicer than windows... Looking forward to using the wysiwyg latex editor!,using Linux and loving it so much nicer than windows. Looking forward to using the wysiwyg latex editor
