,id,text,sentiment_text
0,236159250516,No one beats kenneth taruc! Writing AND reading! HAHAHA. will be his classmate again tomorrow. LOL. I hate grammar.,No one beats kenneth taruc Writing AND reading HA. will be his classmate again tomorrow. LOL. I hate grammar.
1,236162250519,Good luck with the writing!,Good luck with the writing
2,236157250514,I would personally wait for the palm pre...  even though pelephone suck big time!,I would personally wait for the palm pre. even though pelephone suck big time
3,236156250513,"Elohim noten egozim lemi she'ein sina'im. I am DYING for a MacBook, want to trade?  No windows(/Ubuntu) problems here.",Elohim noten egozim lemi sheein sinaim. I am DYING for a MacBook want to trade No windowsUbuntu problems here.
4,236161250518,"awww, poor leg!  *sends virtual hug* x",aww poor leg sends virtual hug x
5,236155250512,Cousin sorry  Your Cousin,Cousin sorry Your Cousin
6,236158250515,"Small reminder; you love basketball, you should watch some NBAaEUR|",Small reminder you love basketball you should watch some NBAaEUR
7,236163250520,"gosh, poor thing! Get well soon, leg.  xx",gosh poor thing Get well soon leg. xx
8,236160250517,Hello! Have fun in PD!,Hello Have fun in PD
9,236154250511,BTW I never heard of Forex before I met you and have now seen two massive billboards in the last week about it,BTW I never heard of Forex before I met you and have now seen two massive billboards in the last week about it
