,id,text,sentiment_text
0,568775800599801856325292,I did not want to hang out on your plane all day when I am traveling to get work done and turn right back around. Unacceptable,I did not want to hang out on your plane all day when I am traveling to get work done and turn right back around. Unacceptable
1,568775265406611456325295,we should have been given the option to get off the plane not sit on it for a time longer than our actually flight.,we should have been given the option to get off the plane not sit on it for a time longer than our actually flight.
2,568774317410009088325299,is setting themselves up for a lawsuit. No way we should sit on a plane for an hour and a half.,is setting themselves up for a lawsuit. No way we should sit on a plane for an hour and a half.
3,568775493727551488325293,does not seem likely bc your team failed to scan my bag in LAX and you recycle bagtag numbers that does not help #usairwaysfail,does not seem likely bc your team failed to scan my bag in LAX and you recycle bagtag numbers that does not help 
4,568776831006064640325291,well we should have been told that before we were sitting on the plane for an hour to have the option of not getting on.,well we should have been told that before were sitting on the plane for an hour to have the option of not getting on.
5,568775413192921088325294,this is a complete waste of my day. A trip to my for work has now turned into sitting on your planes all day. Ridiculous,this a complete waste of my day. A trip to my for work has now turned into sitting on your planes all day. Ridiculous
6,568773869512761345325300,Thks US #1786 2/19 PHL to FLL. Overall 1st class has improved with more food now on PHL to FLL and most crews are super.,Thks US PHL to FLL. Overall 1st class has improved with more food now on PHL to FLL and most crews are super.
7,568774385965932545325298, nothing was available. Male flight crew was not nice/dismissive. Big guy was standby and probably did not even pay., nothing was available. Male flight crew was not nicedismissive. Big guy was standby and probably did not even pay.
8,568774932844261376325297,of course weather was a joke 43 beats 5 degrees in PHL! [?][?][?],of course weather was a joke beats degrees in PHL 
9,568775146703589376325296,the plane is moving and it is no ice. We are moving to the end of the runway to sit because LGA has one runway open.,the plane is moving and it is no ice. We are moving to the end of the runway to sit because LGA has one runway open.
