,id,text,sentiment_text
0,272817096,i have a cold!,i have a cold
1,272517093,- I hate waking up when you are in the middle of the best dream ever, I hate waking up when you are in the middle of the best dream ever
2,272917097,I have a headache.,I have a headache.
3,272717095,i hate you think you or talk you? i don`t like that !! now aunts b.day,i hate you think you or talk you i dont like that now aunts b.day
4,273217100,i have a stomach ache.. and i think its from the ahi tuna i had at PF changs tonight.. something was just not right about it.,i have a stomach ache. and i think its from the ahi tuna i had at PF changs tonight. something was just not right about it.
5,272617094,i hate work,i hate work
6,272417092,i hate today (((,i hate today 
7,272317091,i hate thunderstorms...   I do not like the sound of thunder...,i hate thunderstorms. I do not like the sound of thunder.
8,273117099,"I have a sick today. He has a headache, cough, sore throat.  He is curled up on the couch.",I have a sick today. He has a headache cough sore throat. He is curled up on the couch.
9,273017098,"i have a new pictureee...i do not have face buuut...it is beatiful! aah the photograph is Sara, she've a great future how photograph haha",i have a new picturee.i do not have face buut.it is beatiful aah the photograph is Sara sheve a great future how photograph ha
