,id,text,sentiment_text
0,194531208888,It drives me mad because I feel like such a n00b at #openspacecode - LOT of talent there,It drives me mad because I feel like such a n00b at LOT of talent there
1,194532208889,it is about to become a new word. you cannot go against facebook,it is about to become a new word. you cannot go against facebook
2,194524208881,I so wanted to create a banner that said Spacewalk Detroit supports Susan G Komen Race For the Cure... no time or flyers,I so wanted to create a banner that said Spacewalk Detroit supports Susan G Komen Race For the Cure. no time or flyers
3,194533208890,No idea then - I was just repeating hearsay,No idea then I was just repeating hearsay
4,194525208882," oh i get it - i'm afraid i cannot, sorry", oh i get it im afraid i cannot sorry
5,194528208885,oh well.. i guess  im sorryyyyyyyy,oh well. i guess im sorryy
6,194530208887,Not even if you are taking it; only if you push back  You out at the Catty the other night?,Not even if you are taking it only if you push back You out at the Catty the other night
7,194527208884,WOOOOOO HOOOOOOOOO Dawnie is coming too  ROAD TRIP,WOO HOO Dawnie is coming too ROAD TRIP
8,194526208883,"Hmmm, this one's more underhanded than Marcos - if these 'manipulations' are indeed true",Hmm this one more underhanded than Marcos if these manipulations are indeed true
9,194529208886, i give up..., i give up.
