,id,text,sentiment_text
0,1171112208, Fox is cherry picking the candidates. Jeb gets the softball questions.  #GOPDebates  #GOPDebates, Fox is cherry picking the candidates. Jeb gets the softball questions. 
1,1171312210, Ask Trump a legitimate question. Look at Wallace's face when Trump nails it.  #GOPDebate  #GOPDebates, Ask Trump a legitimate question. Look at Wallace face when Trump nails it. 
2,1170412201," Trump ""often sounds like more of a Democrat than a Republican"". Stop trying to make Liberal Trump happen! We do not WANT HIM!!!!...", Trump often sounds like more of a Democrat than a Republican. Stop trying to make Liberal Trump happen We do not WANT HIM.
3,1170712204,No talking to Ted Cruz... Why? #GOPDebate #GOPDebates #TedCruz,No talking to Ted Cruz. Why 
4,1171212209," I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio,  #GOPDebate  #G...", I think Cruz and Trump need to band together and expose this set up job and get rid of Bush and Rubio .
5,1170912206, Why does not Chris Wallace ask the other politicans about their finances and where their money comes from?  #GOPDebate  ..., Why does not Chris Wallace ask the other politicans about their finances and where their money comes from .
6,1170612203,"Despite support for traditional marriage, would accept daughter if she was gay. #GOPdebates #LZDebates",Despite support for traditional marriage would accept daughter if she was gay. 
7,1170512202, Bankruptcy. The Donald Trump master plan for the USA that must look appealing now to Joe Hockey & Tony Abbott. #GOPDeb..., Bankruptcy. The Donald Trump master plan for the USA that must look appealing now to Joe Hockey Tony Abbott. .
8,1170812205,"""When did you actually become a Republican?"" BOOM SHOTS FIRED AGAINST TRUMP #GOPDebates",When did you actually become a Republican BOOM SHOTS FIRED AGAINST TRUMP 
9,1171012207," Thanks Fox News, you are raising 's ratings.  #GOPDebate  #GOPDebates", Thanks Fox News you are raising ratings. 
