,id,text,sentiment_text
0,201853216210,of course I am,of course I am
1,201852216209,"Well... your spectacles are not screwed to your head now, are they?",Well. your spectacles are not screwed to your head now are they
2,201848216205,"I said front-end, said backend",I said frontend said backend
3,201847216204,"Try just clicking the big blue button. Its not very intuitive, but seems to work. Then allow it access to your twitter.",Try just clicking the big blue button. Its not very intuitive but seems to work. Then allow it access to your twitter.
4,201844216201,"are family enjoyed the travel ovr thr, FlagStaff AZ, & the 2 wonders of the world!  They say many are moving thr from CA.",are family enjoyed the travel ovr thr FlagStaff AZ the wonders of the world They say many are moving thr from CA.
5,201845216202,so how are you doing this morning ?,so how are you doing this morning 
6,201846216203, you are most welcome !, you are most welcome 
7,201851216208,"I totally get you, why you did it is beyond me, I rediscovered some new bones on my back after Sundays escapades",I totally get you why you did it is beyond me I rediscovered some new bones on my back after Sundays escapades
8,201850216207,"Hi love, sorry about the traffic",Hi love sorry about the traffic
9,201849216206,assistant?  Some of us can only dream,assistant Some of us can only dream
