,id,text,sentiment_text
0,2798942346,"this happened to one of my friends, sorry",this happened to one of my friends sorry
1,2799242349,"In meadowhall at the apple store, So i can get a phone before school, because if i go after they might sell out  Lol",In meadowhall at the apple store So i can get a phone before school because if i go after they might sell out Lol
2,2798642343, Hello Mr.Abhishek.. your feedbacks would help us to make the events more meaningful for the SMBs., Hello Mr.Abhishek. your feedbacks would help us to make the events more meaningful for the SMBs.
3,2798542342,start sleeping at 6 am,start sleeping at am
4,2798442341,Thanks...  Main soch raha tha Ayn rand padhne ki. Par pehle Oliver's story.,Thanks. Main soch raha tha Ayn rand padhne ki. Par pehle Oliver story.
5,2799142348, thankyou   my friend wanted to know what it was called!, thankyou my friend wanted to know what it was called
6,2798842345,hey thanks for being my 200 follower,hey thanks for being my follower
7,2799342350,I am looking for more ppl too...most of the ppl i follow are not on as much..,I am looking for more ppl too.most of the ppl i follow are not on as much.
8,2798742344,lol.. i was just testing my new twitter app,lol. i was just testing my new twitter app
9,2799042347,"I still enjoyed the fight, nonetheless!  Let me know when you plan the ass kicking.  I want to film it!",I still enjoyed the fight nonetheless Let me know when you plan the ass kicking. I want to film it
