,id,text,sentiment_text
0,247441261798,Have fun!!! *MGM has the best Black Jack tables* I was totally addicted for 4 days.,Have fun MGM has the best Black Jack tables I was totally addicted for days.
1,247442261799,that is good to know,that is good to know
2,247435261792,i think you should do a show in NZ...its a long shot but maybe one day  you guys are amazing!,i think you should do a show in NZ.its a long shot but maybe one day you guys are amazing
3,247443261800,Yup!  haha   how did you know??,Yup ha how did you know
4,247440261797,boyfriends house hehe,boyfriends house he
5,247437261794,SNL?,SNL
6,247438261795,it is the best thing to do.,it is the best thing to do.
7,247436261793,many thanks for the mention of Podcasters Emporium,many thanks for the mention of Podcasters Emporium
8,247434261791,"Its such a small lil thing to do, but I feel so bad I was happy to have SOMETHING to show. I keep thinking about Neda.",Its such a small lil thing to do but I feel so bad I was happy to have SOMETHING to show. I keep thinking about Neda.
9,247439261796,"aww, do not beat her loll",aww do not beat her loll
