,id,text,sentiment_text
0,2651740874,a punch and a kick for being such a...........,a punch and a kick for being such a.
1,2651440871,But I think getting phone line requires my parent's consent.,But I think getting phone line requires my parent consent.
2,2652340880,its all good I might jump on msn a lil lata,its all good I might jump on msn a lil lata
3,2651640873,XDD I meant the Threaded view not the MMS.,XDD I meant the Threaded view not the MMS.
4,2652040877,I notice did not invite us to IMAX star trek,I notice did not invite us to IMAX star trek
5,2651940876,ily.,ily.
6,2652140878,Threw me away like a used tissue,Threw me away like a used tissue
7,2651840875,freak! how could they have named the place bung hole...maybe Beavis or Butthead own the joint,freak how could they have named the place bung hole.maybe Beavis or Butthead own the joint
8,2651540872,good thing I am using a laptop.,good thing I am using a laptop.
9,2652240879,i missed yesterday live  did she speak to you guys?,i missed yesterday live did she speak to you guys
