,id,text,sentiment_text
0,7555189908,,
1,7554789904,i ddnt get ur tweets  sorry  thanks<3,i ddnt get ur tweets sorry thanks3
2,7554689903,"let us Go Caro ! let us Go.  you are so perfect, you will be ready.",let us Go Caro let us Go. you are so perfect you will be ready.
3,7554889905,"I am low on patience today and JT is in the Zone. Oh yeah, Ryan is sick, we did not get much sleep last night. Whoa is me!",I am low on patience today and JT is in the Zone. Oh yeah Ryan is sick we did not get much sleep last night. Whoa is me
4,7555389910,"Gawd, I hope so too. A genuine threat could possibly mean a repeat event, if we find her...",Gawd I hope so too. A genuine threat could possibly mean a repeat event if we find her.
5,7554589902,no it was just on the street  I wish it would come to my office!!,no it was just on the street I wish it would come to my office
6,7554989906,im sick toooo,im sick too
7,7554489901,"The universe just conspires to bring you back to photography all the time, does not it?  I have always loved images of dance.",The universe just conspires to bring you back to photography all the time does not it I have always loved images of dance.
8,7555089907,You are very welcome... hope it helps!,You are very welcome. hope it helps
9,7555289909,I am scarred... SCARRED by that video!  Pass me the brain bleach.,I am scarred. SCARRED by that video Pass me the brain bleach.
