,id,text,sentiment_text
0,6819182548,was not it 2 Legit?,was not it Legit
1,6818882545,Oh the Irony  lol,Oh the Irony lol
2,6818582542,was going to go there but the cinema is better in braintree  what you upto?,was going to go there but the cinema is better in braintree what you upto
3,6819382550,"aww, that sux!! get some rest and drink plenty of water. feel better",aww that sux get some rest and drink plenty of water. feel better
4,6818682543,"Why thank you! Sadly, I do not think I am coming  As you said, I probably left it a bit late. We should still meet up soon tho.",Why thank you Sadly I do not think I am coming As you said I probably left it a bit late. We should still meet up soon tho.
5,6819082547,"yeah Edinburgh is lovely, found a few nice places to chill out but weather kept changing all the time",yeah Edinburgh is lovely found a few nice places to chill out but weather kept changing all the time
6,6819282549,nope sorry!,nope sorry
7,6818982546,OHHHH GREASSEEEE,OHH GREASSEE
8,6818482541,Stuck in the office here but such a lovely day out side,Stuck in the office here but such a lovely day out side
9,6818782544,indeed  enjoying your summer?,indeed enjoying your summer
